blockNumber,fee_in_ETH,fee_in_stETH
18145154,0,0.0051320788284357505
18145206,2.2994755821947232e-05,0
18145685,0,8.471804968765912e-05
18145737,0,8.96626195455995e-05
18145750,0,0.00032330162858833293
18145781,0.010392835967462844,0
18145796,0.0007697582152747438,0
18145970,0.013056666240281456,0
18146130,0,0.002000832194525135
18146185,0,0.015005206704349863
18146473,0,0.00019005424203456087
18146986,0,0.0007502112585821208
18147263,0,0.003110827317781367
18147332,0.005047027457483209,0
18147382,0,3.701081447558834e-05
18147398,5.006126420688018e-05,0
18147432,0,5.800364392578512e-05
18147437,3.7098922616817915e-05,0
18147597,0,0.010001517788756069
18147605,0,0.003450680506040173
18147680,0.0039557454869404065,0
18147736,0.000517114104039954,0
18147771,0,7.50164628790021e-05
18147874,9.997808066747773e-06,0
18147886,0,7.001534774782112e-06
18147895,8.750059393511947e-05,0
18147898,9.997797079335783e-05,0
18147940,0,0.0024404034117528556
18148026,0.0001009796665957099,0
18148052,4.479615281034631e-06,0
18148188,4.9989921870670145e-05,0
18148546,0.00030793747172099006,0
18148633,6.998568176430816e-05,0
18148694,2.6939397705287134e-05,0
18148694,0,0.00010952593117952495
18148749,0.00032491925935089786,0
18148991,0.0005614491136276336,0
18149282,0.00034266476736283464,0
18149344,0.0013152049365919552,0
18149396,0.00030752081971562555,0
18149415,0,0.00011002549060132285
18149422,0,0.006001241687595252
18149446,0,0.010001420518238035
18149488,0,0.010000609428116996
18149499,0.0029153256637733946,0
18149516,0.0001999910309592642,0
18149548,0.0014999759287970746,0
18149572,0.0008999768041342192,0
18149735,0.00199999626849244,0
18149752,0.0021122383945549102,0
18149757,0.0008000757182984975,0
18149910,0.0003999857836878124,0
18150009,0.005830130188883697,0
18150226,0.0007567716798186058,0
18150229,0.009117207510382046,0
18150822,0,0.0004183769533618583
18150901,0.002143050223489415,0
18151482,1.0215440353533259e-06,0
18151585,0,0.024768357513176412
18151585,0.024779120396739646,0
18151918,0.03586534786911408,0
18151918,0,0.01673999195184094
18151919,0,0.013047426662299464
18152066,5.498592612434297e-05,0
18152120,0.0006998187346650191,0
18152347,7.921117803730312e-06,0
18152570,0,0.008022604528835612
18152655,0,0.0017503320110609964
18153110,4.499178362228813e-08,0
18153179,0.0018306520870797077,0
18153240,0,0.0013002498621152224
18153381,1.6424928650590888e-05,0
18153389,0.013103188279656019,0
18153509,0,0.005301441080144218
18153553,0,0.00040009950756496836
18153604,0.009997123617704141,0
18153618,0.015547676710139235,0
18153619,0,0.011614814534694847
18153729,0,0.013681697957573662
18153849,0,0.02000336145083892
18153885,0.0004592469051062697,0
18153961,0.0005999441540948568,0
18154107,1.0099733760830571e-06,0
18154435,0.003952572881679212,0
18154584,1.2805649053662928e-05,0
18155046,0.0001852816954078915,0
18155362,0.00020314278256928462,0
18155639,0.00032081251416121525,0
18155729,2.537112510942645e-05,0
18155855,2.4996487619632734e-05,0
18155952,0.0006120279308193875,0
18156008,0,0.009921201386508392
18156044,0.0002682792145927854,0
18156075,0.0002806791882004687,0
18156228,0,0.00040002717257629945
18156228,0.0003865189876530222,0
18156232,0.000599956876172848,0
18156368,0.0017050096485732471,0
18156440,0.0006214121015456635,0
18156775,5.000058606729133e-05,0
18157030,9.999194753615856e-05,0
18157034,0.003489665383205827,0
18157059,0.002775234465193404,0
18157127,0.0014816668476115248,0
18157652,9.988172895869742e-05,0
18158106,0.0021850216411961427,0
18158238,0.000999833607982904,0
18158255,0.0006723579882774439,0
18158260,0,0.009585325825772118
18158297,0,7.300714374379039e-05
18158315,7.29927000010825e-05,0
18158767,0,1.0001043512228264e-06
18158773,0,1.00010434310715e-06
18158909,0.0005722856685895767,0
