id,blockNumber,balance_0,balance_1,total_supply
1,18573607,53580713101736888297903,54408744501242356134704,99661253791425093557837
2,18573799,53621913101736888297903,54367527188791002166908,99661253791425093557837
3,18573904,53472000843353005493153,54517527188791002166907,99661253791425093557837
4,18574056,53552000843353005493153,54437485025147308977133,99661253791425093557837
5,18574209,53610989061642013756763,54378470620997870481878,99661253791425093557837
6,18574242,53576007588283648476028,54413470620997870481878,99661253791425093557837
7,18574298,53571057827954212909430,54418423120997870481878,99661253791425093557837
8,18574389,53460861124895281292162,54528837355958602824498,99661391205338676417620
9,18574590,53436876167475908509885,54552839168765584222432,99661391205338676417620
10,18574658,53436878698826687912790,54552836635852885221378,99661391205338676417620
11,18574817,53452872664345147920429,54536832954661180528587,99661391205338676417620
12,18574835,53360232006994136401100,54629543407533191552297,99661391205338676417620
13,18574837,53353670349743397115429,54636110397944958999797,99661391205338676417620
14,18574901,53440860470040049153472,54548866344578765179093,99661391205338676417620
15,18574901,53440860470040049153472,54548866344578765179093,99661391205338676417620
16,18574939,53445060470040049153472,54544663783591403894787,99661391205338676417620
17,18574950,53470060470040049153472,54519648976390208991338,99661391205338676417620
18,18574958,53436790025339217379309,54552954291218132903605,99661391205338676417620
19,18574958,53436790025339217379309,54552954291218132903605,99661391205338676417620
20,18575026,53536790025339217379309,54452898558833946891776,99661391205338676417620
21,18575032,53636790025339217379309,54352854788831158441353,99661391205338676417620
22,18575069,53700770025339217379309,54288853058001409985184,99661391205338676417620
23,18575103,53750770025339217379309,54216092884157321011949,99640401291015244614352
24,18575106,53740773365204455368635,54226092884157321011949,99640401291015244614352
25,18575141,53675363698490007407949,54291527353484966861730,99640401291015244614352
26,18575143,53652637361450494587795,54314263505910933140545,99640401291015244614352
27,18575211,53538038840601628572329,54428920934467941753226,99640401291015244614352
28,18575241,53563038840601628572329,54403909244999214373325,99640401291015244614352
29,18575245,53557195063942688398292,54409756271811960883189,99640401291015244614352
30,18575421,53577195063942688398292,54389747318761677609256,99640401291015244614352
31,18575563,53591315869495064708164,54375620480185756850943,99640401291015244614352
32,18575624,53619697387795808382655,54347227557544123175509,99640401291015244614352
33,18575628,53685153691972241851389,54281748624832749549744,99640401291015244614352
34,18575643,53673947593069810626104,54292959355263938261167,99640401291015244614352
35,18575657,53576360152882397718563,54390593478789905635662,99640401291015244614352
36,18575906,53547077794823339815406,54424246793739163198788,99644419001631809606301
37,18575998,53808598582988854543775,54158589151485963715839,99640678213406248702980
38,18576012,53808119745300505060397,54159068113415072991161,99640678213406248702980
39,18576015,53308398913230764205987,54659068113415072991161,99640678213406248702980
40,18576016,53414724361115029223433,54552668879542494065808,99640678213406248702980
41,18576073,53594717408725872976153,54372581764205271336655,99640678213406248702980
42,18576103,53594739760746806706521,54372559402909773040918,99640678213406248702980
43,18576124,53581786631556813201427,54385519302909773040918,99640678213406248702980
44,18576222,53591786631556813201427,54375515058582462879673,99640678213406248702980
45,18576248,53621286631556813201427,54346003234752777471162,99640678213406248702980
46,18576342,53615143435227391642608,54352149422116419209790,99640678213406248702980
47,18576431,53557196478324413920973,54335084741643706918514,99571440385675706332893
48,18576431,53557196478324413920973,54335084741643706918514,99571440385675706332893
49,18576444,53555197510848211221689,54337084741643706918514,99571440385675706332893
50,18576487,53382936519881259023536,54509463446990895104183,99571440385675706332893
51,18576487,53382936519881259023536,54509463446990895104183,99571440385675706332893
52,18576520,53402936519881259023536,54489451207381277964128,99571440385675706332893
53,18576531,53405945305184948567257,54486440622217211912758,99571440385675706332893
54,18576532,53430551324183427209298,54461820290760431369846,99571440385675706332893
55,18576559,53445553450165155443082,54446809794371887293976,99571440385675706332893
56,18576569,53523416644887390141643,54368907485214425518632,99571440385675706332893
57,18576574,53531422510483787062746,54360898009411291824887,99571440385675706332893
58,18576591,53575692510483787062746,54316609431270781454754,99571440385675706332893
59,18576761,53570695689839150514990,54321608731327066335529,99571440385675706332893
60,18576887,53559618708477987143818,54332683731298879268463,99571433388033507474809
61,18576965,53555490546344806641356,54336814019091143325272,99571433388033507474809
62,18576975,53552552071844136293951,54339754019091143325271,99571433388033507474809
63,18576998,53514605985847947604755,54377720733424928243907,99571433388033507474809
64,18577011,53463029912743139010203,54429327608767310768994,99571433388033507474809
65,18577013,53396827341046096393600,54495574387040279695710,99571433388033507474809
66,18577029,53443338158494836144481,54449036617779423064840,99571433388033507474809
67,18577057,53463338158494836144481,54429025824791529000453,99571433388033507474809
68,18577389,53463218234216809851876,54435227193792549542540,99571433388033507474809
69,18577494,53460189375020723353273,54438257971166197125805,99571433388033507474809
70,18577591,53452094704578584627357,54446357821881827104900,99571433388033507474809
71,18577783,53432107831489692548645,54466357821881827104899,99571433388033507474809
72,18577993,53471456254102800864036,54452463688809489257762,99594936886278215684427
73,18578019,53417740616400611494129,54506215256573852255289,99594936886278215684427
74,18578080,53377967406866594956386,54546017296533633619918,99594936886278215684427
75,18578118,53367974947890183186244,54556017296533633619915,99594936886278215684427
76,18578146,53318014445607107446987,54606017296533633619914,99594936886278215684427
77,18578183,53332895664317255290800,54591125489679693160211,99594936886278215684427
78,18578296,53328930331734376404934,54585121259434446306885,99585736886278215684427
79,18578299,53333930331734376404934,54580117767171405855232,99585736886278215684427
80,18578395,53318556087187150924056,54595504384063146195456,99585736886278215684427
81,18578481,53349528149823594560206,54564510785783277688814,99585736886278215684427
82,18578508,53338132105003744562352,54575915761423847700079,99585736886278215684427
83,18578517,53294119504571707281971,54619964314385972161922,99585736886278215684427
84,18578564,53294009041198656208049,53999803827848634499393,99013447314055361774315
85,18578564,53294009041198656208049,53999803827848634499393,99013447314055361774315
86,18578588,53277194340576582598701,54016626677986225678409,99013447314055361774315
87,18578603,53267203287639807923525,54026622734447852464482,99013447314055361774315
88,18578624,53087184035222037433032,54206752734447852464482,99013447314055361774315
89,18578665,53066763529659760929783,54227188267489949422954,99013447314055361774315
90,18578739,53063935540313932684059,54230018377559562589457,99013447314055361774315
91,18578798,53061479420311864227155,54232476347236609476526,99013447314055361774315
92,18578845,53063288803087964972893,54230665782200896227562,99013447314055361774315
93,18578950,53263288803087964972893,54030559405228408384453,99013447314055361774315
94,18579025,53253162909813468176002,54040659405228408384452,99013418589566328649954
95,18579101,53153228944130136995409,54140651719881851598799,99013418589566328649954
96,18579104,53151103334461991507752,54142778701256556021311,99013418589566328649954
97,18579163,53147947980721237999062,54145936101256556021310,99013418589566328649954
98,18579179,53167519094911168893046,54126354446890751071522,99013418589566328649954
99,18579234,53267488946084758261878,54026337950390846723971,99013418589566328649954
100,18579248,53261290800213733201390,54032539258567908340033,99013418589566328649954
101,18579299,53237303474456297789975,54056539258567908340032,99013418589566328649954
102,18579315,52990157204094114404509,54303881734761275385168,99013418589566328649954
103,18579315,52990157204094114404509,54303881734761275385168,99013418589566328649954
104,18579406,52997403598260417838902,54296630006698619542153,99013418589566328649954
105,18579471,52991908187491031894009,54302130006698619542152,99013418589566328649954
106,18579489,52989664913814035590032,54304375164199152423518,99013418589566328649954
107,18579511,52981714366472040323935,54312332436972718276338,99013418589566328649954
108,18579572,53090334366472040323935,54203638012605986402926,99013418589566328649954
109,18579765,53100334366472040323935,54193631875238300537916,99013418589566328649954
110,18579796,53105334366472040323935,54188628851719614425684,99013418589566328649954
111,18579915,53223936126472040323935,54069964199475325909672,99013418589566328649954
112,18579985,53220145384943903693234,54073757068437401767829,99013418589566328649954
113,18580008,53299145384943903693234,53994724212592401954249,99013418589566328649954
114,18580052,53259600994139618702395,54034288067141322895200,99013418589566328649954
115,18580060,53249633120954714823049,54044261143577359937816,99013418589566328649954
116,18580091,53247709692294448435857,54046185590039333654003,99013418589566328649954
117,18580273,53239561136915465605227,54054338506714704148721,99013418589566328649954
118,18580379,53231064837153081488104,54062839439027046686374,99013418589566328649954
119,18580465,53550474837153081488104,53743346996967688661795,99013418589566328649954
120,18580472,53510032821323834269746,53783796709565710297890,99013418589566328649954
121,18580719,53494092034473293030390,53799741070826359577849,99013418589566328649954
122,18580842,53464099588423195597347,53829741070826359577848,99013418589566328649954
123,18580973,53404029617007964910417,53889829426290232787941,99013418589566328649954
124,18581014,53343977032453817781415,53949904729906499971766,99013418589566328649954
125,18581042,53296581120071586477240,53997321637702126724950,99013418589566328649954
126,18581068,53308581120071586477240,53985317266852560503942,99013418589566328649954
127,18581088,53318281120071586477240,53975613860413575741015,99013418589566328649954
128,18581105,53319681120071586477240,53974213378113561424833,99013418589566328649954
129,18581107,53327181120071586477240,53966710834530005921842,99013418589566328649954
130,18581119,53327151126199641549926,53966740841440005921841,99013418589566328649954
131,18581127,53324152435168426622152,53969740841440005921840,99013418589566328649954
132,18581281,53378654445477139383336,53915222181741649154940,99013418589566328649954
133,18581420,53352816888283465888848,53941069770976032323588,99013418589566328649954
134,18581471,53402616888283465888848,53891256134727988483237,99013418589566328649954
135,18581566,53022653390365055969222,54271462186326700575773,99013418589566328649954
136,18581566,53022653390365055969222,54271462186326700575773,99013418589566328649954
137,18581567,53322653390365055969222,53971305977455955979263,99013418589566328649954
138,18581790,53312657850147466804443,53981305977455955979262,99013418589566328649954
139,18581827,53408657037130174673001,53877276108039861794920,99006034623836810934064
140,18581866,53378687448282558029229,53907256183347626124094,99006034623836810934064
141,18581886,53374187435050344451076,53911757864487129087954,99006034623836810934064
142,18581934,53440318253784323359311,53845611602226378698903,99006034623836810934064
143,18582020,53420509459170388392976,53865426452226378698903,99006034623836810934064
144,18582028,53415519193400449097400,53870418317939312804946,99006034623836810934064
145,18582083,53428834793400449097400,53857099847434530268582,99006034623836810934064
146,18582210,53546134793400449097400,53739783776981911813195,99006034623836810934064
147,18582249,53524284573517793588651,53761637921378412821029,99006034623836810934064
148,18582254,53514286560796634015349,53771637921378412821028,99006034623836810934064
149,18582307,53303275479852325424356,53982719003395963599819,99006034623836810934064
150,18582354,53330275479852325424356,53955709757874499086178,99006034623836810934064
151,18582360,53310284241044270159338,53975709757874499086177,99006034623836810934064
152,18582449,52914210597840498564791,54372071353424108749675,99006034623836810934064
153,18582449,52914210597840498564791,54372071353424108749675,99006034623836810934064
154,18582449,52914210597840498564791,54372071353424108749675,99006034623836810934064
155,18582450,53137757661244015836101,54148369454641175236769,99006034623836810934064
156,18582616,53114601004489974239893,54171541672529255728903,99006034623836810934064
157,18582708,53112520762901343575275,54173623343645956754228,99006034623836810934064
158,18582847,53147775847709164519615,54104514925097939311722,98974820747532749623452
159,18582885,53326275847709164519615,53925940267620685183465,98974820747532749623452
160,18582962,53428275847709164519615,53823914829154174642728,98974820747532749623452
161,18582985,53420918751993524392330,53831274076586098230046,98974820747532749623452
162,18582993,53418944965169861929036,53833248451763811691182,98974820747532749623452
163,18583013,53366512311518766509044,53885698451763811691181,98974820747532749623452
164,18583031,53365512674378973887397,53886698451763811691180,98974820747532749623452
165,18583048,53360653387930576894049,53891559519231764681414,98974820747532749623452
166,18583235,53351619885946087598739,53900596407710329176781,98974820747532749623452
167,18583356,53501619582554189764604,53774965731235360095349,98997333027229047058604
168,18583390,53501627782866777237627,53775017535593448900050,98997388396631899960854
169,18583395,53497083532444736828715,53779562772920825772685,98997388396631899960854
170,18583400,53491599751934604254731,53785047777464523973644,98997388396631899960854
171,18583570,53486500922506541324848,53790147777464523973643,98997388396631899960854
172,18583572,53484782867622817390058,53791866233819580371788,98997388396631899960854
173,18583691,53456789909360914769230,53819866233819580371787,98997388396631899960854
174,18583700,53406787334305694495905,53869883733819580371787,98997388396631899960854
175,18583701,53396790679053746702754,53879883733819580371786,98997388396631899960854
176,18583794,53396765687566279460540,53879908733819580371785,98997388396631899960854
177,18583820,53555106590939693788540,53721544817172646849134,98997388396631899960854
178,18583875,53548227437688459515901,53728425031513144924263,98997388396631899960854
179,18583989,53538229081416665321404,53738425031513144924262,98997388396631899960854
180,18584057,53536687360211572831586,53739967016879493727778,98997388396631899960854
181,18584081,53470951106441862753726,53805717194700345135781,98997388396631899960854
182,18584084,53410909113726405392668,53865776449021783395778,98997388396631899960854
183,18584087,53350841925532008199624,53925865247484982644937,98997388396631899960854
184,18584088,53279025334834546118901,53997713376024049263793,98997388396631899960854
185,18584089,53237498614095926659942,54039261166290503826194,98997388396631899960854
186,18584090,53372302661727705259935,53904409777788452868555,98997388396631899960854
187,18584092,53312208292092498415905,53964528561493066976875,98997388396631899960854
188,18584159,53412208292092498415905,53864500340423587774971,98997388396631899960854
189,18584257,53409873252164617247053,53866836135679610627577,98997388396631899960854
190,18584441,53407590680094063322608,53874802490277165355552,98997388396631899960854
191,18584673,53404977525861289775931,53876833636664531765431,98996850622395834026298
192,18584723,53402978195698538538157,53878833636664531765431,98996850622395834026298
193,18584814,53395735435173892107840,53886078864017179475765,98996850622395834026298
194,18584814,53395735435173892107840,53886078864017179475765,98996850622395834026298
195,18584859,53377917698776699643625,53903902937698662899159,98996850622395834026298
196,18584895,53336937082788706952750,53944899579474796165675,98996850622395834026298
197,18584926,53341137082788706952750,53940698264228077800098,98996850622395834026298
198,18585027,53311149938693685667581,53970698264228077800098,98996850622395834026298
199,18585059,53236178903767333473574,54045706176812236147950,98996850622395834026298
200,18585102,53246182277250731413750,54035698492370507518126,98996850622395834026298
201,18585105,53267398475584127811082,54014473549601407233037,98996850622395834026298
202,18585105,53267398475584127811082,54014473549601407233037,98996850622395834026298
203,18585105,53267398475584127811082,54014473549601407233037,98996850622395834026298
204,18585105,53267398475584127811082,54014473549601407233037,98996850622395834026298
205,18585222,53291398475584127811082,53990464310971384675486,98996850622395834026298
206,18585231,53311044520331532723613,53970811219687832452031,98996850622395834026298
207,18585417,53310044967626585997787,53971811219687832452030,98996850622395834026298
208,18585496,53357444967626585997787,53924396074002174690455,98996850622395834026298
209,18585570,53460570211950579124222,53821247218344333813281,98996850622395834026298
210,18585736,53458351593841610830385,53823466431657317399152,98996850622395834026298
211,18586072,53463205407877703832904,53833441313399118003129,99010532535215002705090
212,18586389,53465705407877703832904,53830940885566307996994,99010532535215002705090
213,18586420,53460119642839087668575,53836528175598387328788,99010532535215002705090
214,18586554,53437827754840232895098,53858826523459535383699,99010532535215002705090
215,18586709,53418215780160128443002,53863308343422164880622,98996567366870976533400
216,18586746,53378229447035366368098,53903308343422164880620,98996567366870976533400
217,18586750,53429091847022377390508,53852433979921895520777,98996567366870976533400
218,18586807,53428092152172093994109,53853433979921895520776,98996567366870976533400
219,18586924,53420594479118912163295,53860933979921895520775,98996567366870976533400
220,18586969,53448184497965521921188,53833338491647011495405,98996567366870976533400
221,18587034,53443185920935685617027,53838338491647011495405,98996567366870976533400
222,18587039,53439310904158674291271,53842214632233413341522,98996567366870976533400
223,18587059,53437611402738225652144,53843914632233413341521,98996567366870976533400
224,18587249,53484564938272051738163,53792927249673616008392,98992852302886852066893
225,18588046,53491774944756882455414,53785716297804872905898,98992852302886852066893
226,18588051,53472940823161249130525,53804554904479397885156,98992852302886852066893
227,18588140,53464142357498803397658,53813355611645430640705,98992852302886852066893
228,18588161,53473142357498803397658,53804354220096747314040,98992852302886852066893
229,18588167,53475237457498803397658,53802258810143047902999,98992852302886852066893
230,18588171,53415175839574962080604,53862337416062483267508,98992852302886852066893
231,18588176,53411095586667881760578,53866418980513304941135,98992852302886852066893
232,18588275,53420095586667881760578,53857417014488614723788,98992852302886852066893
233,18588375,53422095586667875809752,53855416590830264381586,98992852302886846574765
234,18588414,53442095586667875809752,53835412618969620730669,98992852302886846574765
235,18588626,53434097917184369550494,53843412618969620730669,98992852302886846574765
236,18588835,53384095333066959429425,53893431518969620730668,98992852302886846574765
237,18588850,53361003883524707406537,53916531518969620730668,98992852302886846574765
238,18589062,53360598017519514449757,53916937541000881884514,98992852302886846574765
239,18589164,53359287648653317186249,53918248414962434463878,98992852302886846574765
240,18589191,53358496969167568171799,53920069751603716853004,98993802900468482806016
241,18589225,53358476976921151719560,53920089751603716853002,98993802900468482806016
242,18589471,53360976976921151719560,53917589035851487130400,98993802900468482806016
243,18589498,53359977362206825730726,53918589035851487130399,98993802900468482806016
244,18589510,53333117634978057447388,53945459566104130995448,98993802900468482806016
245,18589513,53333617634978057447388,53944959407090772752134,98993802900468482806016
246,18589526,53327335889283909258965,53951243800830039247366,98993802900468482806016
247,18589620,53377835889283909258965,53900728908540352622558,98993802900468482806016
248,18589645,53374855626544374381590,53903710263061511086774,98993802900468482806016
249,18589810,53371812667069211219733,53906605471550413349876,98993665546359236800720
250,18590081,53370082712199871340209,53908356078204684721969,98993684003881604156279
251,18590243,53570082587847278842625,53718324067235690398479,99002909778400155312447
252,18590282,53569886814202043424876,53718519868146633898215,99002909778400155312447
253,18590498,53563006861453800502485,53725400808357465262182,99002909778400155312447
254,18590527,53550610113556412096898,53727800808357465262181,98993684003881604156279
255,18590533,53553110113556412096898,53725300670712730710098,98993684003881604156279
256,18590585,53547111056463779800989,53731300670712730710098,98993684003881604156279
257,18590605,53546963080269234034283,53731448670712730710096,98993684003881604156279
258,18590678,53545163371903310627749,53733248670712730710096,98993684003881604156279
259,18590724,53541884331786695590532,53736528252199913259203,98993684003881604156279
260,18590729,53538703601376050893438,53739709520110108097006,98993684003881604156279
261,18590991,53530509543758601486611,53753213818739058420629,98998582133295867235835
262,18591409,53547875568652998160341,53854212336220088851790,99107792290092550996853
263,18591426,53580876679574017008756,53821207456650185215992,99107792290092550996853
264,18591627,53655672279236986609226,53748205328400872082721,99104558205800251154964
265,18591789,53604904563291589735405,53798979953456699821874,99104558205800251154964
266,18592067,53602904898827201105359,53800979953456699821873,99104558205800251154964
267,18592080,53602331527751486409360,53801553421628187132020,99104558205800251154964
268,18592301,53587334207741608829795,53816553421628187132020,99104558205800251154964
269,18592312,53579835649076181669833,53824053421628187132018,99104558205800251154964
270,18592362,53549705699651466262019,53854189843746515209403,99104558205800251154964
271,18592448,53529723914499882524066,53874746662047378816400,99105084221310386408920
272,18592487,53519726546767752070120,53884746662047378816399,99105084221310386408920
273,18592574,53519226681533606492109,53885246662047378816399,99105084221310386408920
274,18592577,53441751200137838829380,53962746662047378816398,99105084221310386408920
275,18592607,53375777767244936292718,54028746662047378816398,99105084221310386408920
276,18592633,53395777767244936292718,54008740056247893506324,99105084221310386408920
277,18592652,53245853996579881587578,54158740056247893506324,99105084221310386408920
278,18592691,53221081489746927780842,54183527761289319974236,99105084221310386408920
279,18592692,53375804458064415637781,54028737440435422859502,99105084221310386408920
280,18592810,53375906458064415637781,54028635405528023012476,99105084221310386408920
281,18592886,53376015495564415637781,54028526330726016004973,99105084221310386408920
282,18592980,53292325671916926464568,54112257363183937886491,99105084221310386408920
283,18592993,53292623046916926464568,54111959856598084596150,99105084221310386408920
284,18592996,53333787954140241263569,54070777760496837595377,99105084221310386408920
285,18593018,53342787954140241263569,54061774273879974379592,99105084221310386408920
286,18593032,53362787954140241263569,54041766874525791313175,99105084221310386408920
287,18593147,53368534513502508706304,54036018278063576792770,99105084221310386408920
288,18593206,53393534513502508706304,54011009877869865850834,99105084221310386408920
289,18593352,53547198001348301460838,53857311258390818424899,99105084221310386408920
290,18593579,53540859585895227109763,53853896330693879040162,99096084221310386408920
291,18593858,53547541497223663175999,53847213523660324725911,99096084221310386408920
292,18593874,53585429504317465401801,53809321452389218091528,99096084221310386408920
293,18593904,53475067410696684383955,53919711229889218091528,99096084221310386408920
294,18593950,53492367410696684383955,53902407653145860918324,99096084221310386408920
295,18594010,53502580322373835831347,53892192798831021268939,99096084221310386408920
296,18594145,53488307235953305964185,53906470062719372281808,99096084221310386408920
297,18594675,53478319341633624230347,53916461025956121503664,99096084221310386408920
298,18594714,53491038881578368423513,53903738870953423337275,99096084221310386408920
299,18594780,53489820044983847769194,53904958071626314757172,99096084221310386408920
300,18595012,53429840168026304795560,53964958071626314757172,99096084221310386408920
301,18595487,53479662208087193098474,53915123996026468700677,99096084221310386408920
302,18595565,53479605348382723141144,53915180873453571259963,99096084221310386408920
303,18595596,53476346264572984435094,53918440979584888998756,99096084221310386408920
304,18595627,53546089782248264931488,53848685347465300033911,99096084221310386408920
305,18595854,53542634336046609937868,53850021475434219314790,99094128054884344658670
306,18595906,53557634336046609937868,53835019590536157571200,99094128054884344658670
307,18595947,53556979317326477762332,53835674751434420884829,99094128054884344658670
308,18596060,53257361616603620476203,54135674748137105424867,99094370814521834517756
309,18596129,53266305073496683890865,54126727065948088822165,99094370814521834517756
310,18596171,53266311020996683890865,54126721115670228498212,99094370814521834517756
311,18596200,53275552939646294186943,54117474931857529997941,99094370814521834517756
312,18596236,53275652064646294186943,54117375761667970137172,99094370814521834517756
313,18596368,53301452064646294186943,54091564401675511175730,99094370814521834517756
314,18596449,53315455765910064653873,54119892839703524133082,99133428377186703752378
315,18596471,53314725555628415288559,54120623439703524133082,99133428377186703752378
316,18596478,53334725555628415288559,54100614998239657049486,99133428377186703752378
317,18596588,53374725555628415288559,54060599557819570796652,99133428377186703752378
318,18596637,53365599378268822794849,54069730001670560219681,99133428377186703752378
319,18596953,53346182105416892873806,54078890028337756168225,99123957381042316411296
320,18596965,53346182205416892873806,54078889928298740683122,99123957381042316411296
321,18597046,53313199027858055111811,54111889928298740683121,99123957381042316411296
322,18597233,53321516172858209066602,54103569250092722602309,99123957381042316411296
