block_number,reserveA,reserveB,total_reserveA,total_reserveB
18164791,30409030895605765753,6182746616644131999770,31542370770395818881,6413176626085131601482
18164800,26103237734959469970,6186993381994266303636,27076101365099980181,6417581667722553950793
18164802,1783521439542088169,6210979755512806778184,1849993007541583248,6442462009669535807017
18164823,24084256097917659,6212715080229218495896,24981872594942224,6444262009669535807016
18164988,45694463951143284863,6165852098369950782384,47395630949262726849,6395401658602181736384
18164989,64046121734082557902,6147741237156261695483,66430505732285376192,6376616545044987951574
18164995,55209388502017453718,6156465504224100762545,57264788250363492915,6385665609340658744979
18165004,16318533899374850002,6194861535829253401953,16926059383358895972,6425491093360337465371
18165101,15741655185600418600,6194346085703857276546,16327806347849267847,6424996745669284473995
18165246,18055497696993105476,6192062589908958726889,18727806347849267846,6422628222366262477110
18165298,15748303429101533974,6194340435699916931932,16334702143187159366,6424990885283631577768
18166100,15600286414451671703,6194486569904684021426,16181173615030827634,6425142460894207561792
18166327,1096957561414551645,6197382186822969423989,1137878796286702421,6428571196297900594825
18168988,36694588977085629748,6025149229399586326247,38070510523953872608,6251071712221354726407
18168998,36304857003544736953,6025534772839609254078,37666164934758822734,6251471712221354726427
18169005,16962515635909041109,6044669268690388123677,17598551939984039613,6271323686203473020389
18169093,17198985530867510534,5785064888989446688350,17872792073731276512,6011707010764400049820
18169117,15146212191730318600,5783197392034942045442,15739995950959095743,6009918676824513444502
18169117,15146212191730318600,5783197392034942045442,15739995950959095743,6009918676824513444502
18169121,14346862387636424871,5783988153774014722531,14909308877480265758,6010740439151200840508
18169129,14852057015731223559,5783488586736901810082,15434308877480265778,6010221287363159531133
18169145,13345581713939591785,5777938233038976558251,13867199539433262634,6003771444476025500116
18169145,13345581713939591785,5777938233038976558251,13867199539433262634,6003771444476025500116
18169145,13345581713939591785,5777938233038976558251,13867199539433262634,6003771444476025500116
18169179,16105988312783302540,5774516458429313550366,16735398859839831143,6000180447034234577564
18169210,16779299684696836492,5756449945734104878643,17436999195201517028,5982085960508127928134
18169286,17593378432074324737,5700783806645465064879,18288164717459043797,5925915461721991779665
18169328,65607618124586440660,5536011922529845683705,68252810439187019837,5759214907329645295335
18169339,62085754366951684141,5532700655791633543465,64591991541614170611,5756041101618696497044
18169358,63067005497992576224,5529208359655799110381,65614001438759293493,5752508501092591725900
18169363,61144641242953015840,5531110054285679140378,63614001438759293491,5754486996713174199718
18169384,77320927065456928304,5413106176353430853791,80487869275376901658,5634818396929363557058
18169498,74755033404538315824,5232722839556890352943,77880011899147124537,5451465920753492387184
18169565,73064337605180750282,5199396438227915034172,76093177991284038312,5414934448037363443828
18169581,89768005425719416806,5182879051205622858172,93489286821338050648,5397732342169656462939
18169603,87290681247441460677,5045378778826745392456,91007951511252659858,5260236037770940454459
18169607,87770258470079245365,5044904550648519400369,91507951511252659857,5259741614604200353282
