sender,recipient,tokenAIn,exactOutput,amountIn,amountOut,activeTick,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber
0xd1B47490209CcB7A806E8a45d9479490C040ABf4,0xd1B47490209CcB7A806E8a45d9479490C040ABf4,False,False,273154320088396495,279128617891377330,21,Swap,326,128,0xcd4eacc28d72b7e5adf4ba8270548d14495c0218bfdfdf87a4004f749e9ba3d2,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xf2490c311ea565b8f02bb1d59687b52b891b0940f68f3275a539f1fe0572c4fe,18146012
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,9800842053023711362,10013127811626799612,21,Swap,131,21,0x94f7752b8bea030e1beede5438c3fcb469b8b47cf3fed858cd7dc719872992d8,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x719d809a2052de0395d8082018cf0b24e4ef7f33bc5e7e15e78fd2e74915838f,18146324
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,1437475877151452561,1468272309079531331,21,Swap,124,76,0xeb8ab87b4ef62f8cd22a29c718535664a179b858d737d6697a56f6c90e509247,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x083836c074789dbd0f60b8b0c8eac67d17414fda7072597870286a2cc4045e36,18146758
0xd1B47490209CcB7A806E8a45d9479490C040ABf4,0xd1B47490209CcB7A806E8a45d9479490C040ABf4,True,False,322650000000000000,315763482570824902,21,Swap,59,20,0xead5830f7047a160160b6ce93033527514be4740c63edaf6e010c67189cc95f5,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x967ea241867e052a06c45425d7899bb0499bce714a4d3c60d5a2d2fcad3a8592,18146830
0xa06CF5995bF01eCE7789976C7aCcC24701a7Cd02,0x9008D19f58AAbD9eD0D60971565AA8510560ab41,True,False,2082280945689380206,2037738968239030938,21,Swap,67,34,0xac34bd91d936543303262b9770f8523db484f642869a20fbc60a7f32b9e8b5dc,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xabfe4f7d61f333b810d126bf3198dc93d37ee81871f6b2f55ee32c91618d950c,18146907
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,True,False,6200000000000000000,6066365452024113134,21,Swap,175,61,0xf70d0562117d79e16f2a95b7527dfa16d20b10c5768479e159c57f3fa396c48e,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x64cb3243761f85d0b162356c28a5e2178a72d321e1048d5b93eea5270ddc78f7,18146947
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,331311911667938037,338514781129765781,21,Swap,202,84,0x2cffd80e0f5cbc185f3ec4102bb04cc29bd653e4be6b507aae2620d793fa74b6,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x596f9e85608bd522f883554124cd940be5fdaa49b98bda435f8d02f9fc2a502b,18147263
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,1350613158969409800,1379928191718942279,21,Swap,241,90,0xb1891a5187382a69cd6cf5c14aadde177ca95809e4d38a8d760023f03f9946cf,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x6b8646708363da6e271760c6a55bc25b19911661e0b7cb788addd509e692c621,18147319
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x1111111254EEB25477B68fb85Ed929f73A960582,True,False,1740000000000000000,1702342128487963088,21,Swap,420,108,0x21eb7e9e400e61dac51be430c98dc4ebbc85caeef705d8076389553956616db0,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x63d6ff07b4904f0894dcb7f0e759dff988632584de8b042bb26baf4e31ddb01b,18147719
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,168720437239104291,172389227325070227,21,Swap,1287,83,0xbcc6c2608c383c365151f4fbd5ca1903a1447d68316e5d34f4f80e158dcaf765,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x7ec096f80fe07ed4be893196b346342e67b90eb147a4a276fc7ea2c7b366064f,18147720
